node1	interaction	node2	connections
117610	0	22835	2
37066	0	39977	7
15462	0	2133	29
105756	0	76991	4
101308	0	12469	2
16624	0	87140	8
37333	0	84698	2
120264	0	37318	2
17762	0	4856	4
104192	0	10891	10
13757	0	1895	2
106904	0	77074	3
2992	0	76298	3
22787	0	70231	3
45646	0	65357	5
13051	0	5959	2
48737	0	56366	3
1586	0	2251	2
102860	0	130840	2
29655	0	88694	5
2486	0	6679	7
10547	0	13664	4
35315	0	84992	3
48567	0	64166	5
18256	0	30886	10
16902	0	28815	34
30199	0	5666	2
66289	0	91683	5
56451	0	84709	4
19782	0	31227	2
27620	0	32198	2
4783	0	91186	3
102692	0	8814	2
8634	0	99338	31
63419	0	90071	5
22052	0	64621	3
30028	0	61663	6
19919	0	56046	2
104123	0	126647	2
29344	0	59284	3
10484	0	73063	2
10516	0	7754	60
108864	0	130675	2
101645	0	125158	3
4548	0	846	2
13735	0	22059	5
17100	0	52035	6
79512	0	95790	2
11741	0	34941	20
61665	0	71662	2
11035	0	27704	3
65646	0	7840	3
17294	0	75113	3
27760	0	6849	2
24811	0	37074	2
30175	0	95830	3
108565	0	45904	2
41311	0	66144	3
130880	0	133680	2
12888	0	44096	6
21927	0	78672	3
56757	0	69947	27
25458	0	56267	5
60067	0	95220	5
50639	0	90865	2
30396	0	60958	10
17192	0	78024	4
59901	0	7912	4
37882	0	92896	4
28468	0	33722	13
21546	0	2265	3
47370	0	62852	2
10436	0	64490	6
18237	0	30836	9
3690	0	5135	2
4913	0	5880	3
31462	0	67639	4
107475	0	33614	3
12009	0	1931	44
102391	0	51382	2
56003	0	99829	3
37201	0	7988	20
67273	0	74927	2
124845	0	36780	2
122375	0	77486	3
33519	0	54269	25
3074	0	33273	86
1083	0	22905	14
59479	0	91578	3
2169	0	26755	13
3065	0	45131	3
11468	0	70630	8
35251	0	53996	3
2826	0	35048	34
108793	0	33042	4
108817	0	31549	6
44325	0	55109	2
11448	0	46525	22
45747	0	97986	4
76453	0	89711	6
101387	0	119795	2
78904	0	9251	2
105855	0	65338	3
100831	0	77410	3
123649	0	93630	2
124714	0	127499	3
6129	0	82706	3
38269	0	53662	3
13757	0	16062	31
