gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
638124728	451	100	116	334	1	218	3.2e-96	320.8	pfam00308	Bac_DnaA	219
638124728	451	100	359	428	1	70	1.8e-33	113.8	pfam08299	Bac_DnaA_C	70
638124729	366	100	1	119	1	119	2.7e-33	114	pfam00712	DNA_pol3_beta	120
638124729	366	100	128	243	2	116	6.9e-35	119.2	pfam02767	DNA_pol3_beta_2	116
638124729	366	100	245	365	1	121	2.8e-33	113.7	pfam02768	DNA_pol3_beta_3	121
638124730	354	100	1	346	5	203	2.0e-18	66.1	pfam02463	SMC_N	220
638124731	805	100	33	176	2	106	1.1e-19	69.9	pfam02518	HATPase_c	111
638124731	805	100	222	392	1	173	5.8e-63	210.8	pfam00204	DNA_gyraseB	173
638124731	805	100	730	794	4	65	8.0e-31	105.2	pfam00986	DNA_gyraseB_C	65
638124732	257	100	18	236	1	233	5.9e-43	146.1	pfam02358	Trehalose_PPase	235
638124733	595	100	219	585	5	445	4.3e-30	104.3	pfam00723	Glyco_hydro_15	448
638124734	462	100	5	456	26	473	4.4e-123	410.9	pfam00982	Glyco_transf_20	474
638124735	313	100	5	310	1	314	1.4e-88	296.3	pfam02685	Glucokinase	316
638124736	253	100	61	187	1	134	5.2e-19	67.7	pfam01553	Acyltransferase	135
638124738	693	100	8	555	1	548	0.0e+00	722.5	pfam02092	tRNA_synt_2f	549
638124738	693	100	581	687	4	104	1.9e-08	34	pfam05746	DALR_1	119
638124739	317	100	19	306	1	284	0.0e+00	514	pfam02091	tRNA-synt_2e	284
638124740	471	100	16	97	1	84	1.3e-31	107.6	pfam03951	Gln-synt_N	84
638124740	471	100	104	381	2	258	2.4e-100	334.6	pfam00120	Gln-synt_C	258
638124742	350	100	12	113	1	96	4.9e-10	39.1	pfam08448	PAS_4	110
638124742	350	100	129	188	3	60	1.3e-15	56.8	pfam00512	HisKA	68
638124742	350	100	234	347	4	111	1.6e-19	69.3	pfam02518	HATPase_c	111
638124743	468	100	7	117	1	111	2.5e-28	98	pfam00072	Response_reg	112
638124743	468	100	141	308	1	167	2.1e-70	235.2	pfam00158	Sigma54_activat	168
638124743	468	100	423	464	3	42	1.0e-14	53.4	pfam02954	HTH_8	42
638124744	209	100	25	180	11	114	1.1e-10	41.5	pfam04055	Radical_SAM	166
638124746	553	100	23	526	1	486	2.3e-127	425.2	pfam00118	Cpn60_TCP1	488
638124747	95	100	2	94	1	93	2.1e-34	117	pfam00166	Cpn10	93
638124748	124	100	5	106	2	100	4.0e-32	109.5	pfam03091	CutA1	102
638124749	614	100	42	164	5	121	5.6e-30	103.5	pfam11412	DsbC	124
638124749	614	100	203	410	1	210	1.4e-17	63.7	pfam02683	DsbD	211
638124749	614	100	495	605	10	99	7.0e-05	22.1	pfam00085	Thioredoxin	104
638124750	167	100	30	149	4	123	1.0e-26	92.7	pfam00578	AhpC-TSA	124
638124751	152	100	2	142	2	139	7.1e-60	200	pfam01220	DHquinase_II	140
638124752	154	100	79	153	1	74	7.0e-28	95.7	pfam00364	Biotin_lipoyl	74
638124753	447	100	1	110	1	110	2.1e-41	140.1	pfam00289	CPSase_L_chain	110
638124753	447	100	115	324	1	209	2.0e-81	271.9	pfam02786	CPSase_L_D2	211
638124753	447	100	336	441	1	107	4.7e-41	138.7	pfam02785	Biotin_carb_C	107
638124754	191	100	2	191	2	180	7.2e-15	54.5	pfam07437	YfaZ	180
638124755	269	100	6	261	2	239	4.1e-53	179.9	pfam01925	TauE	239
638124756	320	100	6	217	1	235	1.7e-18	66.6	pfam01370	Epimerase	238
638124757	413	100	3	122	1	126	1.2e-24	86.6	pfam01743	PolyA_pol	126
638124757	413	100	228	366	2	89	4.3e-08	32.9	pfam01966	HD	118
638124759	346	100	15	339	2	283	4.2e-75	251.9	pfam00248	Aldo_ket_red	284
638124760	237	100	41	233	8	196	3.6e-57	192.2	pfam02390	Methyltransf_4	197
638124761	262	100	9	256	2	247	6.5e-112	372.2	pfam05690	ThiG	247
638124762	73	100	10	73	1	78	5.8e-15	55.1	pfam02597	ThiS	78
638124769	320	100	3	97	1	77	2.6e-24	84.6	pfam04717	Phage_base_V	79
638124770	169	100	4	161	3	156	1.7e-52	176.8	pfam05591	DUF770	158
638124771	492	100	65	490	1	423	0.0e+00	611.9	pfam05943	DUF877	423
638124772	142	100	30	130	6	97	3.6e-23	80.6	pfam04965	GPW_gp25	99
638124773	587	100	2	587	1	602	0.0e+00	703	pfam05947	DUF879	602
638124774	328	100	7	311	3	302	1.3e-92	309.7	pfam06996	DUF1305	303
638124775	236	100	34	102	4	68	2.8e-05	23.7	pfam00498	FHA	68
638124777	445	100	19	444	1	425	0.0e+00	519	pfam05936	DUF876	425
638124778	271	100	44	249	1	206	1.7e-66	223.2	pfam09850	DUF2077	206
638124779	525	100	211	378	1	167	3.5e-64	214.9	pfam00158	Sigma54_activat	168
638124779	525	100	477	518	2	41	1.4e-06	27.4	pfam02954	HTH_8	42
638124780	215	100	29	209	4	183	1.1e-55	187.6	pfam11319	DUF3121	183
638124781	480	100	58	119	1	61	3.6e-15	55.1	pfam06812	ImpA-rel_N	62
638124782	1205	100	525	841	2	312	6.3e-79	265.1	pfam06761	IcmF-related	312
638124782	1205	100	935	1056	2	125	9.3e-32	108.9	pfam06744	DUF1215	125
638124783	172	100	6	156	1	132	4.4e-34	117	pfam05638	DUF796	132
638124784	99	100	23	47	1	22	1.5e-07	30.1	pfam05488	PAAR_motif	25
638124784	99	100	59	83	1	25	5.3e-05	22	pfam05488	PAAR_motif	25
638124786	279	100	5	128	1	120	8.6e-27	93.1	pfam01678	DAP_epimerase	121
638124786	279	100	155	271	2	120	2.5e-32	111	pfam01678	DAP_epimerase	121
638124787	232	100	5	229	5	217	1.2e-45	155.4	pfam04340	DUF484	225
638124788	304	100	8	91	1	84	4.2e-24	84.2	pfam02899	Phage_integr_N	84
638124788	304	100	112	284	2	172	9.5e-43	145.5	pfam00589	Phage_integrase	173
638124789	210	100	27	73	2	46	3.1e-12	45.6	pfam00440	TetR_N	47
638124790	326	100	28	93	2	63	9.3e-07	28.2	pfam08240	ADH_N	109
638124790	326	100	159	289	1	115	5.7e-15	54.7	pfam00107	ADH_zinc_N	130
638124791	183	100	3	177	3	188	2.1e-27	95.3	pfam00227	Proteasome	190
638124792	440	100	53	172	1	95	5.7e-07	29.5	pfam00004	AAA	130
